"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 26 16:30:22 MSK 2021","Tue Oct 26 16:30:23 MSK 2021","600","test","test_add_group","","","","test_add_group[None:eee0fmg:eeeTUw:eeeoP]",""
"passed","Tue Oct 26 16:58:01 MSK 2021","Tue Oct 26 16:58:01 MSK 2021","516","test_contact","test_all_info_on_home_page_and_edit_page","","","","test_all_info_on_home_page",""
"passed","Tue Oct 26 16:57:49 MSK 2021","Tue Oct 26 16:57:50 MSK 2021","1524","test_contact","test_add_contact","","","","test_add_new_contact[firsibvltR7RC:headerZRHE:companyKwz:278757077:97678:None:None:None:27179757174737375:None:None:address:nick3PXAZr:lastname2qSfH:None:None:None:None:None:None]",""
"passed","Tue Oct 26 16:57:55 MSK 2021","Tue Oct 26 16:58:01 MSK 2021","5335","test_contact","test_add_contact_in_group","","","","test_add_contact_in_group",""
"passed","Tue Oct 26 16:30:21 MSK 2021","Tue Oct 26 16:30:22 MSK 2021","647","test","test_add_group","test_add_group[None","","","test_add_group[None:::]",""
"passed","Tue Oct 26 16:30:22 MSK 2021","Tue Oct 26 16:30:22 MSK 2021","649","test","test_add_group","","","","test_add_group[None:eeebWIrWWiWj:eee8Ekf:eeeVbNwfc]",""
"passed","Tue Oct 26 16:57:52 MSK 2021","Tue Oct 26 16:57:54 MSK 2021","1533","test_contact","test_add_contact","","","","test_add_new_contact[firsBAiUn:headerNZ4M:companyUu04:2737770707879:17171787373:None:None:None:5757770:None:None:address4gOoz1S8F:nickNdn3Q:lastname:None:None:None:None:None:None]",""
"failed","Tue Oct 26 16:58:01 MSK 2021","Tue Oct 26 16:58:02 MSK 2021","346","test_contact","test_all_info_on_home_page_and_edit_page","","","","test_all_info_on_home_page_and_db",""
"passed","Tue Oct 26 16:30:24 MSK 2021","Tue Oct 26 16:30:25 MSK 2021","664","test","test_add_group","","","","test_add_group[None:eee5:eeeEUXQ6:eeeCSv]",""
"passed","Tue Oct 26 16:57:45 MSK 2021","Tue Oct 26 16:57:47 MSK 2021","2006","test_contact","test_add_contact","test_add_new_contact[","","","test_add_new_contact[:::99999999999:88888888888:None:None:None:78888888888:78475746583:None::::None:None:None:7283472873723:None:None]",""
"passed","Tue Oct 26 16:57:50 MSK 2021","Tue Oct 26 16:57:52 MSK 2021","1549","test_contact","test_add_contact","test_add_new_contact[firsbBh:header:company7DdJb:97071727775","","","test_add_new_contact[firsbBh:header:company7DdJb:97071727775::None:None:None::None:None:addressgEiCvM:nickd8ZSXSc:lastnamekTaD5pVz:None:None:None:None:None:None]",""
"passed","Tue Oct 26 16:58:02 MSK 2021","Tue Oct 26 16:58:03 MSK 2021","1048","test_contact","test_all_info_on_home_page_and_edit_page","","","","test_phones_on_contact_view_page",""
"passed","Tue Oct 26 16:30:23 MSK 2021","Tue Oct 26 16:30:24 MSK 2021","668","test","test_add_group","","","","test_add_group[None:eeeTv:eeeFhVp:eeexpAJYu]",""
"passed","Tue Oct 26 16:30:24 MSK 2021","Tue Oct 26 16:30:24 MSK 2021","605","test","test_add_group","","","","test_add_group[None:eeeew:eeeCn19Wm5a:eeeQdirM]",""
"passed","Tue Oct 26 16:57:54 MSK 2021","Tue Oct 26 16:57:55 MSK 2021","1665","test_contact","test_add_contact","","","","test_add_new_contact[firs9qekBMa:headerRQYk:companyFdlDE:07075:67774737872:None:None:None:479777177:None:None:address6uXJYyf:nick1qb:lastnamee:None:None:None:None:None:None]",""
"broken","Tue Oct 26 16:58:04 MSK 2021","Tue Oct 26 16:58:06 MSK 2021","2406","test_contact","test_del_contact_in_group","","","","test_del_contact_in_group",""
"passed","Tue Oct 26 16:58:03 MSK 2021","Tue Oct 26 16:58:04 MSK 2021","910","test_contact","test_del_contact","","","","test_del",""
"passed","Tue Oct 26 16:58:06 MSK 2021","Tue Oct 26 16:58:08 MSK 2021","2073","test_contact","test_modify_contact","","","","test_edit_contact",""
"passed","Tue Oct 26 16:57:47 MSK 2021","Tue Oct 26 16:57:49 MSK 2021","1491","test_contact","test_add_contact","test_add_new_contact[firs:headerEvUvl:company:9","","","test_add_new_contact[firs:headerEvUvl:company:9::None:None:None:9707071:None:None:addressodEhnc:nickn:lastnamesr1pFwxZz:None:None:None:None:None:None]",""
